"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2014-07-01 00:00","2014","07","01","00:00","24.8","","20.3","","76","","","M","","M","","","99.49","","33","","","","NA"
"2014-07-01 01:00","2014","07","01","01:00","24.0","","20.1","","79","","","M","","M","","","99.44","","32","","","","NA"
"2014-07-01 02:00","2014","07","01","02:00","23.7","","20.3","","81","","","M","","M","","","99.35","","32","","","","NA"
"2014-07-01 03:00","2014","07","01","03:00","23.7","","20.3","","82","","","M","","M","","","99.27","","32","","","","NA"
"2014-07-01 04:00","2014","07","01","04:00","23.5","","20.2","","82","","","M","","M","","","99.27","","31","","","","NA"
"2014-07-01 05:00","2014","07","01","05:00","23.2","","20.4","","84","","","M","","M","","","99.29","","31","","","","NA"
"2014-07-01 06:00","2014","07","01","06:00","23.7","","20.6","","83","","","M","","M","","","99.22","","32","","","","NA"
"2014-07-01 07:00","2014","07","01","07:00","24.2","","20.8","","81","","","M","","M","","","99.00","","32","","","","NA"
"2014-07-01 08:00","2014","07","01","08:00","25.6","","21.2","","77","","","M","","M","","","98.95","","34","","","","NA"
"2014-07-01 09:00","2014","07","01","09:00","25.2","","20.9","","77","","","M","","M","","","99.02","","34","","","","NA"
"2014-07-01 10:00","2014","07","01","10:00","25.4","","23.0","","87","","","M","","M","","","99.04","","36","","","","NA"
"2014-07-01 11:00","2014","07","01","11:00","27.6","","21.6","","70","","","M","","M","","","99.09","","37","","","","NA"
"2014-07-01 12:00","2014","07","01","12:00","29.3","","19.2","","55","","","M","","M","","","99.14","","36","","","","NA"
"2014-07-01 13:00","2014","07","01","13:00","30.0","","18.9","","52","","","M","","M","","","99.17","","37","","","","NA"
"2014-07-01 14:00","2014","07","01","14:00","28.7","","17.8","","52","","","M","","M","","","99.20","","35","","","","NA"
"2014-07-01 15:00","2014","07","01","15:00","28.9","","18.1","","52","","","M","","M","","","99.18","","35","","","","NA"
"2014-07-01 16:00","2014","07","01","16:00","28.6","","17.6","","51","","","M","","M","","","99.16","","34","","","","NA"
"2014-07-01 17:00","2014","07","01","17:00","27.8","","17.9","","55","","","M","","M","","","99.14","","34","","","","NA"
"2014-07-01 18:00","2014","07","01","18:00","26.5","","17.3","","57","","","M","","M","","","99.17","","32","","","","NA"
"2014-07-01 19:00","2014","07","01","19:00","25.9","","18.7","","64","","","M","","M","","","99.21","","32","","","","NA"
"2014-07-01 20:00","2014","07","01","20:00","24.9","","19.1","","70","","","M","","M","","","99.22","","32","","","","NA"
